epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/head1,train/confmaps/thorax1,train/confmaps/abdomen1,train/confmaps/forelegR1,train/confmaps/forelegL1,train/confmaps/midlegR1,train/confmaps/midlegL1,train/confmaps/hindlegR1,train/confmaps/hindlegL1
0,,0.005589236039668322,,,,,,,,,,,,
0,,0.0010041744681075215,,,,,,,,,,,,
1,0.0013108974089846015,0.0004955977201461792,9.999999747378752e-05,190.53070068359375,5.24677848815918,0.0006317233201116323,0.0004620850959327072,0.0006655095494352281,0.0016990992007777095,0.001711733639240265,0.001781734055839479,0.0018109563970938325,0.001626300043426454,0.0014115524245426059
2,0.0007364680641330779,0.0004106973938178271,9.999999747378752e-05,201.39413452148438,5.2632246017456055,0.00018340589303988963,0.00013459564070217311,0.00024667856632731855,0.0010515120811760426,0.00114508590195328,0.00078349414980039,0.0008236619178205729,0.0010970609728246927,0.0011609145440161228
3,0.0004817690351046622,0.00029147876193746924,9.999999747378752e-05,228.91001892089844,5.211330413818359,0.00012497117859311402,0.0001011830463539809,0.00016696425154805183,0.0006207278929650784,0.0006623915396630764,0.000472571759019047,0.0005585671751759946,0.0007647342281416059,0.0008635242702439427
4,0.000366470601875335,0.00022307918698061258,9.999999747378752e-05,230.6395263671875,5.187530517578125,9.755885548656806e-05,8.464700658805668e-05,0.00013431509432848543,0.00038055257755331695,0.0004451687855180353,0.000374716822989285,0.00044126249849796295,0.0006269544828683138,0.0007139248191379011
5,0.0003286097780801356,0.0002423449041089043,9.999999747378752e-05,231.37562561035156,5.1653032302856445,8.642928150948137e-05,7.122046372387558e-05,0.00011934568465221673,0.0003196249308530241,0.00037156391772441566,0.0003330124309286475,0.0004287353658583015,0.0005646419012919068,0.0006636463804170489
6,0.0002812859311234206,0.0001984950213227421,9.999999747378752e-05,231.51718139648438,5.181491374969482,8.092870120890439e-05,6.320139073068276e-05,0.00010115988698089495,0.0002590291842352599,0.00032853425364010036,0.0003137514286208898,0.00035557246883399785,0.0004813269479200244,0.0005492569180205464
7,0.00026247015921399,0.000197850342374295,9.999999747378752e-05,199.4281768798828,5.235191345214844,8.077456004684791e-05,6.124052742961794e-05,9.382204007124528e-05,0.0002547234180383384,0.00029190044733695686,0.0002461858675815165,0.0003690563316922635,0.00043421605369076133,0.0005262171034701169
8,0.00023174587113317102,0.00019837150466628373,9.999999747378752e-05,232.00021362304688,5.1988115310668945,7.200067193480209e-05,5.474526187754236e-05,8.854766201693565e-05,0.00021118501899763942,0.00025030618417076766,0.00024403585121035576,0.0003254705516155809,0.0003717508807312697,0.00046634828322567046
9,0.00022691588674206287,0.0001573980407556519,9.999999747378752e-05,231.3785400390625,5.230700492858887,7.013716822257265e-05,4.8714453441789374e-05,8.328744297614321e-05,0.0002029747556662187,0.0002477798843756318,0.0002454966597724706,0.0003081242903135717,0.0003756154328584671,0.0004595828941091895
10,0.00019839497690554708,0.00017677535652182996,9.999999747378752e-05,199.61668395996094,5.264596939086914,6.0894650232512504e-05,4.228801481076516e-05,7.029972766758874e-05,0.00017852248856797814,0.0002217158762505278,0.00019768650236073881,0.0002817251952365041,0.000327082525473088,0.0004052311123814434
11,0.00019699188123922795,0.000158272436237894,9.999999747378752e-05,230.48214721679688,5.177738189697266,5.856128336745314e-05,4.622382402885705e-05,7.057678885757923e-05,0.00016814851551316679,0.0002154452376998961,0.00019260816043242812,0.0002695044095162302,0.0003367185709066689,0.0004142264951951802
12,0.00018310190353076905,0.00016621801478322595,9.999999747378752e-05,199.40541076660156,5.277863502502441,6.110747199272737e-05,4.1873401642078534e-05,6.51036316412501e-05,0.00016994011821225286,0.00019430118845775723,0.00017307352391071618,0.00026990147307515144,0.00029511339380405843,0.0003780125407502055
13,0.00017085194122046232,0.00014860587543807924,9.999999747378752e-05,199.51461791992188,5.2172393798828125,5.27786323800683e-05,3.914774060831405e-05,6.082583058741875e-05,0.00014240082236938179,0.00018802238628268242,0.00017776603635866195,0.00025019736494868994,0.00027985297492705286,0.0003470057272352278
14,0.00016568295541219413,0.000156970156240277,9.999999747378752e-05,199.48910522460938,5.253119468688965,5.2522893383866176e-05,3.760747131309472e-05,6.464074249379337e-05,0.00015345025167334825,0.00017502506671007723,0.00016461267659906298,0.0002518378314562142,0.0002672947885002941,0.00032295112032443285
15,0.0001613643835298717,0.0001645240990910679,9.999999747378752e-05,230.85267639160156,5.167123794555664,5.460489046527073e-05,3.791365088545717e-05,5.994957246002741e-05,0.00014784152153879404,0.00017721083713695407,0.00014648526848759502,0.00022223991982173175,0.00026903225807473063,0.0003377400862518698
16,0.00016775031690485775,0.00013170484453439713,9.999999747378752e-05,199.2564239501953,5.246183395385742,5.439221058622934e-05,3.5915072658099234e-05,5.8730955061037093e-05,0.00015909592912066728,0.00017445793491788208,0.00015830504707992077,0.0002473174827173352,0.0002711405686568469,0.00034717173548415303
17,0.00013691346975974739,0.00016164018597919494,9.999999747378752e-05,199.3358917236328,5.220749855041504,4.903540320810862e-05,3.205455868737772e-05,5.377167326514609e-05,0.00010995482443831861,0.00013992424646858126,0.00013849690731149167,0.00020295775902923197,0.00020218174904584885,0.00030376811628229916
18,0.0001435336598660797,0.00014396730693988502,9.999999747378752e-05,231.36509704589844,5.149988174438477,4.740758231491782e-05,3.2012008887249976e-05,5.2569113904610276e-05,0.00014545029262080789,0.0001536402851343155,0.0001379642926622182,0.00021070861839689314,0.00021474067762028426,0.0002978607953991741
19,0.00014168799680192024,0.0001612450578249991,9.999999747378752e-05,199.5604248046875,5.2567033767700195,4.817918670596555e-05,3.4235174098284915e-05,5.613700341200456e-05,0.00011171125515829772,0.00015783621347509325,0.000131547189084813,0.0002045288565568626,0.000226333097089082,0.00030390924075618386
20,0.0001410512486472726,0.00014994513185229152,9.999999747378752e-05,199.3448944091797,5.2450432777404785,4.3735977669712156e-05,3.243541141273454e-05,5.179288564249873e-05,0.00012898846762254834,0.0001265617465833202,0.0001402807392878458,0.0002226126816822216,0.0002150490618078038,0.0003075732383877039
21,0.00013036737800575793,0.00012236382463015616,9.999999747378752e-05,199.3023681640625,5.266671180725098,4.440792326931842e-05,3.1545489036943763e-05,5.217948273639195e-05,0.00011266615183558315,0.00013168863370083272,0.00011920997349079698,0.00017262519395444542,0.00020884248078800738,0.00030096503905951977
22,0.00011925463331863284,0.00012256707123015076,9.999999747378752e-05,199.40223693847656,5.241544723510742,4.3361520511098206e-05,3.1979885534383357e-05,4.8180168960243464e-05,0.00011458980588940904,0.00011746885138563812,0.00011131555220345035,0.00018606436788104475,0.00018529621593188494,0.00023533578496426344
23,0.00012181005149614066,0.0001332633983111009,9.999999747378752e-05,231.09693908691406,5.157498359680176,4.437733514350839e-05,2.925657099694945e-05,4.6089349780231714e-05,0.00010647394810803235,0.00011738813918782398,0.0001080223373719491,0.00018281723896507174,0.00018313904001843184,0.0002792247396428138
24,0.00011912479385500774,0.00012557268200907856,9.999999747378752e-05,199.36154174804688,5.25369930267334,4.0056966099655256e-05,2.8214120902703144e-05,4.643513238988817e-05,0.0001132749966927804,0.00011245637870160863,0.00010751885565696284,0.00019583656103350222,0.00019439040625002235,0.0002334563178010285
25,0.00010387918155174702,0.00011004275438608602,9.999999747378752e-05,199.45681762695312,5.2784318923950195,4.0081045881379396e-05,2.8996333639952354e-05,4.647698733606376e-05,9.93197609204799e-05,0.00010910882701864466,8.463647100143135e-05,0.00014791153080295771,0.00016265457088593394,0.00021610579278785735
26,0.00011773873848142102,0.00012036647240165621,9.999999747378752e-05,199.2583770751953,5.262467384338379,3.985310104326345e-05,2.6196552425972186e-05,4.460204581846483e-05,0.00010756098345154896,0.00011809650459326804,0.00010112709423992783,0.0001913208980113268,0.00017655307601671666,0.00025421081227250397
27,0.00011867076682392508,0.00012987347145099193,9.999999747378752e-05,231.43553161621094,5.172082424163818,4.3084135540993884e-05,2.871291508199647e-05,4.535672633210197e-05,0.00010768472566269338,0.00012275585322640836,0.00012161497579654679,0.0001926791446749121,0.00017099954129662365,0.00023443409008905292
28,0.00010385402129031718,0.00012280228838790208,9.999999747378752e-05,199.47682189941406,5.254342079162598,3.728970114025287e-05,2.6647141567082144e-05,4.161797187407501e-05,9.734391642268747e-05,9.931888052960858e-05,8.952120697358623e-05,0.00016492836584802717,0.00015017132682260126,0.00022831407841295004
29,9.910039079841226e-05,0.00011797175102401525,9.999999747378752e-05,199.17787170410156,5.237339019775391,3.7319947296055034e-05,2.622141437313985e-05,4.328106660977937e-05,9.77472955128178e-05,0.00010159752127947286,8.204166078940034e-05,0.0001486768014729023,0.00014738010941073298,0.00020755328296218067
30,9.334929927717894e-05,0.00012009686906822026,9.999999747378752e-05,199.51963806152344,5.2398271560668945,3.5734916309593245e-05,2.4688952180440538e-05,4.104389518033713e-05,7.636572263436392e-05,8.34437960293144e-05,8.257052104454488e-05,0.00014185986947268248,0.00015539054584223777,0.00019939607591368258
31,0.0001037355323205702,0.00011555437959032133,9.999999747378752e-05,199.16790771484375,5.2251691818237305,3.440702857915312e-05,2.3819597117835656e-05,4.1159222746500745e-05,9.516658610664308e-05,9.80912009254098e-05,7.836172881070524e-05,0.00017037276120390743,0.00016950212011579424,0.00022338569397106767
32,8.492277265759185e-05,0.0001108122814912349,9.999999747378752e-05,199.44435119628906,5.218754768371582,3.4255237551406026e-05,2.4172368284780532e-05,4.028015973744914e-05,8.119021367747337e-05,8.621167216915637e-05,6.670468428637832e-05,0.00013974992907606065,0.00012154845171608031,0.00016852098633535206
33,8.740947669139132e-05,0.00013619956735055894,9.999999747378752e-05,199.32606506347656,5.257626533508301,3.3016422094078735e-05,2.2944008378544822e-05,3.89255365007557e-05,7.171846664277837e-05,9.102464537136257e-05,7.841971091693267e-05,0.0001351936807623133,0.0001301618030993268,0.00018505692423786968
34,9.03884501894936e-05,0.00012016678374493495,9.999999747378752e-05,199.5614776611328,5.258255958557129,3.66893109458033e-05,2.426124774501659e-05,3.775119694182649e-05,8.222505857702345e-05,8.938959945226088e-05,7.643154094694182e-05,0.00013682650751434267,0.00014203143655322492,0.00018814309441950172
